epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,507.759,0.91603,2.39406,0.76595,1.2482,0.82477,0.8,0.84702,0.61597,0.83111,0.7252,0.77947,0.43598,1.00096,2.30443,0.75483,1.47429,0.000317,0.000317,0.000317
87,513.652,0.92628,2.32542,0.78071,1.25859,0.82353,0.78598,0.85806,0.61189,0.79762,0.75789,0.76245,0.4232,0.96255,2.27569,0.74022,1.44258,0.0002972,0.0002972,0.0002972
88,519.452,0.88668,2.31137,0.7698,1.26087,0.81653,0.77895,0.86172,0.60648,0.87566,0.70526,0.8001,0.43958,0.92649,2.27654,0.74389,1.40514,0.0002774,0.0002774,0.0002774
89,525.235,0.86371,2.21721,0.72651,1.22989,0.85201,0.78787,0.88373,0.62439,0.83948,0.71566,0.79586,0.43668,0.93193,2.37404,0.73366,1.39978,0.0002576,0.0002576,0.0002576
90,531.059,0.85062,2.2088,0.69784,1.20116,0.85581,0.74976,0.86421,0.61888,0.8205,0.72178,0.78492,0.44404,0.94225,2.29019,0.69106,1.42648,0.0002378,0.0002378,0.0002378
91,537.708,0.82685,2.12554,0.72252,1.30018,0.86624,0.74989,0.85707,0.62604,0.81433,0.69253,0.75303,0.43805,0.93716,2.23847,0.66926,1.4158,0.000218,0.000218,0.000218
92,543.676,0.79743,2.09267,0.69812,1.25897,0.80111,0.77895,0.85342,0.60444,0.72861,0.76306,0.77389,0.44832,0.99832,2.23718,0.71095,1.44438,0.0001982,0.0001982,0.0001982
93,549.486,0.82874,2.05478,0.68412,1.30376,0.89054,0.73684,0.87179,0.60508,0.88894,0.68421,0.79576,0.46003,0.97597,2.2196,0.70821,1.43113,0.0001784,0.0001784,0.0001784
94,555.211,0.75785,2.03608,0.63289,1.24379,0.88197,0.8,0.88235,0.63091,0.84655,0.76842,0.83205,0.47892,0.93694,2.21292,0.66135,1.44107,0.0001586,0.0001586,0.0001586
95,561.047,0.75829,2.04067,0.62183,1.24521,0.87401,0.82105,0.89208,0.64262,0.85417,0.73988,0.8168,0.47886,0.89367,2.21565,0.64932,1.42125,0.0001388,0.0001388,0.0001388
96,566.928,0.77281,2.04191,0.63911,1.22499,0.89921,0.78947,0.8904,0.6402,0.87845,0.74737,0.84374,0.48298,0.87208,2.22837,0.63245,1.40518,0.000119,0.000119,0.000119
97,572.79,0.7427,1.92955,0.59078,1.2296,0.85982,0.85263,0.89701,0.64097,0.84848,0.76629,0.82298,0.47887,0.89104,2.22187,0.63052,1.41471,9.92e-05,9.92e-05,9.92e-05
98,578.661,0.76065,1.94413,0.6098,1.22956,0.83946,0.88068,0.90391,0.64792,0.85886,0.76867,0.82404,0.47689,0.87617,2.22201,0.62924,1.38101,7.94e-05,7.94e-05,7.94e-05
99,584.524,0.71816,1.94024,0.593,1.2159,0.82763,0.89474,0.91091,0.64749,0.87337,0.74737,0.80573,0.47864,0.87098,2.21801,0.61255,1.37838,5.96e-05,5.96e-05,5.96e-05
100,590.409,0.72387,1.96297,0.60573,1.20122,0.8093,0.89345,0.90737,0.65603,0.83566,0.74939,0.80633,0.48023,0.86143,2.20948,0.60166,1.36483,3.98e-05,3.98e-05,3.98e-05
